"district_id","area_sqmi","perimeter_mi","reock","polsby_popper"
"AK-01",583360,24535,0.162,0.012
"AL-01",4845,626,0.282,0.156
"AL-02",9748,559,0.616,0.392
"AL-03",6873,484,0.41,0.369
"AL-04",8856,717,0.325,0.216
"AL-05",4067,340,0.361,0.442
"AL-06",4288,507,0.46,0.21
"AL-07",13047,789,0.399,0.263
"AR-01",20400,1411,0.341,0.129
"AR-02",5441,484,0.485,0.292
"AR-03",4244,349,0.437,0.437
"AR-04",23117,1038,0.486,0.269
"AZ-01",1615,220,0.442,0.419
"AZ-02",58493,1523,0.632,0.317
"AZ-03",207,79,0.492,0.421
"AZ-04",180,96,0.244,0.244
"AZ-05",406,126,0.546,0.322
"AZ-06",13720,855,0.395,0.236
"AZ-07",15431,1032,0.184,0.182
"AZ-08",579,146,0.502,0.34
"AZ-09",23378,1241,0.287,0.191
"CA-01",18047,1001,0.386,0.226
"CA-02",24729,1217,0.285,0.21
"CA-03",3568,400,0.442,0.28
"CA-04",4929,563,0.363,0.195
"CA-05",24358,1034,0.25,0.286
"CA-06",209,137,0.282,0.139
"CA-07",1452,320,0.33,0.178
"CA-08",1348,276,0.4,0.223
"CA-09",625,272,0.291,0.106
"CA-10",626,156,0.478,0.321
"CA-11",42,39,0.041,0.35
"CA-12",97,62,0.375,0.313
"CA-13",3852,448,0.443,0.241
"CA-14",547,124,0.425,0.45
"CA-15",121,79,0.203,0.246
"CA-16",535,190,0.299,0.187
"CA-17",184,83,0.506,0.334
"CA-18",5919,562,0.274,0.236
"CA-19",2832,627,0.119,0.09
"CA-20",10440,1080,0.397,0.112
"CA-21",653,216,0.281,0.177
"CA-22",4649,640,0.28,0.143
"CA-23",22231,993,0.476,0.283
"CA-24",4887,601,0.189,0.17
"CA-25",8369,749,0.366,0.188
"CA-26",2255,384,0.46,0.192
"CA-27",815,245,0.334,0.171
"CA-28",845,215,0.469,0.23
"CA-29",85,54,0.404,0.371
"CA-30",396,149,0.359,0.225
"CA-31",170,110,0.323,0.176
"CA-32",341,157,0.377,0.175
"CA-33",214,132,0.273,0.154
"CA-34",50,48,0.396,0.269
"CA-35",226,129,0.456,0.17
"CA-36",97,92,0.165,0.144
"CA-37",53,43,0.466,0.367
"CA-38",176,141,0.221,0.111
"CA-39",268,134,0.384,0.188
"CA-40",753,197,0.419,0.243
"CA-41",102,95,0.36,0.141
"CA-42",245,203,0.058,0.075
"CA-43",72,61,0.373,0.248
"CA-44",92,83,0.244,0.17
"CA-45",99,96,0.367,0.135
"CA-46",79,73,0.446,0.188
"CA-47",186,90,0.361,0.286
"CA-48",3002,558,0.375,0.121
"CA-49",576,194,0.25,0.192
"CA-50",431,217,0.22,0.115
"CA-51",593,191,0.353,0.205
"CA-52",691,177,0.225,0.279
"CO-01",155,132,0.182,0.111
"CO-02",11527,623,0.66,0.373
"CO-03",50050,1415,0.355,0.314
"CO-04",32266,1143,0.407,0.31
"CO-05",1473,181,0.545,0.563
"CO-06",311,184,0.259,0.116
"CO-07",7194,573,0.403,0.276
"CO-08",1030,229,0.402,0.248
"CT-01",675,220,0.439,0.175
"CT-02",2081,260,0.548,0.386
"CT-03",488,153,0.351,0.262
"CT-04",459,149,0.282,0.26
"CT-05",1278,260,0.504,0.238
"DE-01",2009,278,0.253,0.327
"FL-01",3574,303,0.48,0.491
"FL-02",10257,735,0.373,0.239
"FL-03",7520,444,0.536,0.479
"FL-04",1894,250,0.383,0.38
"FL-05",684,128,0.489,0.528
"FL-06",3776,290,0.723,0.566
"FL-07",942,163,0.47,0.447
"FL-08",1599,222,0.401,0.407
"FL-09",5416,414,0.467,0.396
"FL-10",215,82,0.479,0.397
"FL-11",1594,234,0.425,0.364
"FL-12",588,123,0.515,0.489
"FL-13",268,132,0.331,0.194
"FL-14",703,196,0.447,0.229
"FL-15",1696,287,0.334,0.259
"FL-16",2847,327,0.407,0.335
"FL-17",1250,266,0.243,0.221
"FL-18",1405,191,0.679,0.483
"FL-19",774,280,0.297,0.124
"FL-20",126,56,0.46,0.502
"FL-21",1668,204,0.464,0.506
"FL-22",5350,393,0.524,0.436
"FL-23",190,72,0.356,0.459
"FL-24",118,65,0.374,0.356
"FL-25",179,149,0.092,0.101
"FL-26",936,145,0.545,0.562
"FL-27",129,73,0.397,0.306
"FL-28",2622,651,0.163,0.078
"GA-01",7646,601,0.418,0.266
"GA-02",10128,655,0.45,0.297
"GA-03",4251,422,0.47,0.3
"GA-04",274,117,0.404,0.25
"GA-05",226,97,0.378,0.302
"GA-06",523,148,0.391,0.3
"GA-07",1159,232,0.335,0.271
"GA-08",11089,766,0.346,0.237
"GA-09",3463,465,0.449,0.202
"GA-10",5343,499,0.518,0.27
"GA-11",1502,242,0.522,0.323
"GA-12",9831,594,0.508,0.35
"GA-13",543,207,0.281,0.159
"GA-14",2962,350,0.407,0.304
"HI-01",214,87,0.299,0.354
"HI-02",6261,972,0.003,0.083
"IA-01",10982,694,0.355,0.287
"IA-02",12963,622,0.536,0.421
"IA-03",10734,618,0.423,0.353
"IA-04",21505,957,0.484,0.295
"ID-01",39812,1598,0.206,0.196
"ID-02",43582,1262,0.576,0.344
"IL-01",619,233,0.252,0.143
"IL-02",3925,414,0.323,0.288
"IL-03",157,140,0.193,0.1
"IL-04",97,93,0.388,0.14
"IL-05",158,155,0.15,0.083
"IL-06",230,126,0.384,0.183
"IL-07",69,71,0.295,0.169
"IL-08",291,172,0.314,0.123
"IL-09",172,134,0.127,0.12
"IL-10",535,148,0.285,0.307
"IL-11",926,270,0.277,0.16
"IL-12",14264,809,0.453,0.274
"IL-13",2298,514,0.113,0.109
"IL-14",1995,295,0.435,0.288
"IL-15",16970,1285,0.418,0.129
"IL-16",9011,1052,0.316,0.102
"IL-17",4561,825,0.226,0.084
"IN-01",1111,178,0.4,0.443
"IN-02",4391,321,0.632,0.535
"IN-03",4440,324,0.408,0.531
"IN-04",6119,432,0.382,0.413
"IN-05",2207,222,0.584,0.561
"IN-06",3295,312,0.432,0.424
"IN-07",283,70,0.566,0.719
"IN-08",8211,676,0.347,0.226
"IN-09",6093,459,0.458,0.364
"KS-01",49802,1324,0.377,0.357
"KS-02",15495,1118,0.391,0.156
"KS-03",2292,252,0.378,0.455
"KS-04",14630,641,0.408,0.448
"KY-01",11952,1192,0.176,0.106
"KY-02",7443,592,0.541,0.267
"KY-03",323,94,0.389,0.46
"KY-04",4965,600,0.235,0.173
"KY-05",11875,685,0.437,0.318
"KY-06",3829,393,0.499,0.311
"LA-01",5399,1361,0.338,0.037
"LA-02",1171,445,0.164,0.074
"LA-03",8042,858,0.268,0.137
"LA-04",13279,907,0.328,0.203
"LA-05",15330,1179,0.382,0.139
"LA-06",3925,728,0.331,0.093
"MA-01",2289,309,0.36,0.301
"MA-02",1860,315,0.325,0.235
"MA-03",778,201,0.298,0.241
"MA-04",709,214,0.315,0.194
"MA-05",230,118,0.343,0.209
"MA-06",568,172,0.466,0.242
"MA-07",64,82,0.198,0.119
"MA-08",305,184,0.501,0.113
"MA-09",1370,593,0.254,0.049
"MD-01",4215,915,0.275,0.063
"MD-02",829,221,0.322,0.214
"MD-03",530,157,0.263,0.272
"MD-04",224,102,0.277,0.27
"MD-05",1627,306,0.324,0.219
"MD-06",2430,480,0.187,0.132
"MD-07",140,84,0.349,0.25
"MD-08",280,95,0.567,0.388
"ME-01",3599,894,0.248,0.057
"ME-02",29078,1683,0.46,0.129
"MI-01",27857,2449,0.236,0.058
"MI-02",9901,540,0.508,0.427
"MI-03",830,161,0.361,0.401
"MI-04",2441,264,0.439,0.441
"MI-05",5350,474,0.194,0.299
"MI-06",1006,175,0.412,0.414
"MI-07",2810,250,0.519,0.565
"MI-08",2267,273,0.377,0.383
"MI-09",4698,386,0.483,0.396
"MI-10",229,79,0.467,0.462
"MI-11",335,101,0.486,0.417
"MI-12",191,69,0.568,0.512
"MI-13",222,94,0.245,0.314
"MN-01",12429,727,0.23,0.296
"MN-02",1806,233,0.408,0.419
"MN-03",516,137,0.567,0.347
"MN-04",333,86,0.512,0.57
"MN-05",137,60,0.496,0.477
"MN-06",2610,371,0.426,0.239
"MN-07",31941,1361,0.292,0.217
"MN-08",34395,1316,0.399,0.25
"MO-01",250,81,0.508,0.478
"MO-02",3632,331,0.582,0.416
"MO-03",5918,437,0.441,0.39
"MO-04",10429,613,0.43,0.349
"MO-05",8312,692,0.349,0.218
"MO-06",16777,764,0.36,0.361
"MO-07",5863,371,0.524,0.534
"MO-08",18477,914,0.521,0.278
"MS-01",10097,566,0.481,0.397
"MS-02",18413,1301,0.3,0.137
"MS-03",11832,745,0.344,0.268
"MS-04",7357,510,0.509,0.355
"MT-01",40667,1518,0.337,0.222
"MT-02",105972,1571,0.589,0.539
"NC-01",10560,1825,0.388,0.04
"NC-02",413,127,0.495,0.324
"NC-03",5114,458,0.606,0.306
"NC-04",1082,219,0.454,0.283
"NC-05",4237,459,0.295,0.253
"NC-06",1687,254,0.397,0.328
"NC-07",4955,436,0.532,0.327
"NC-08",3767,387,0.359,0.317
"NC-09",3307,458,0.386,0.198
"NC-10",1924,287,0.275,0.293
"NC-11",6307,511,0.296,0.303
"NC-12",275,102,0.582,0.332
"NC-13",3765,542,0.391,0.161
"NC-14",2234,392,0.322,0.182
"ND-01",70500,1189,0.537,0.626
"NE-01",6045,543,0.409,0.258
"NE-02",1247,191,0.477,0.428
"NE-03",69944,1671,0.36,0.315
"NH-01",2306,409,0.25,0.173
"NH-02",6957,696,0.236,0.18
"NJ-01",380,106,0.503,0.429
"NJ-02",2206,350,0.36,0.226
"NJ-03",1103,229,0.328,0.264
"NJ-04",700,165,0.416,0.323
"NJ-05",677,180,0.294,0.262
"NJ-06",206,154,0.2,0.11
"NJ-07",1376,279,0.455,0.223
"NJ-08",56,78,0.255,0.114
"NJ-09",118,88,0.274,0.193
"NJ-10",79,76,0.345,0.171
"NJ-11",412,141,0.602,0.262
"NJ-12",445,167,0.41,0.201
"NM-01",17594,841,0.48,0.313
"NM-02",51577,1453,0.381,0.307
"NM-03",52446,1556,0.328,0.272
"NV-01",1019,168,0.524,0.451
"NV-02",65441,1182,0.549,0.589
"NV-03",2025,313,0.238,0.26
"NV-04",41986,1015,0.433,0.513
"NY-01",794,277,0.133,0.13
"NY-02",351,96,0.319,0.475
"NY-03",198,119,0.421,0.176
"NY-04",134,51,0.65,0.644
"NY-05",57,48,0.259,0.31
"NY-06",26,28,0.369,0.401
"NY-07",22,28,0.399,0.366
"NY-08",36,40,0.413,0.284
"NY-09",15,18,0.489,0.561
"NY-10",17,30,0.313,0.245
"NY-11",64,49,0.308,0.343
"NY-12",13,18,0.401,0.501
"NY-13",15,23,0.299,0.334
"NY-14",37,43,0.364,0.25
"NY-15",20,28,0.365,0.307
"NY-16",134,60,0.616,0.472
"NY-17",903,154,0.456,0.476
"NY-18",1932,297,0.394,0.276
"NY-19",8362,721,0.341,0.202
"NY-20",1401,233,0.449,0.325
"NY-21",17011,769,0.569,0.362
"NY-22",2489,273,0.452,0.42
"NY-23",6513,607,0.234,0.222
"NY-24",7390,891,0.26,0.117
"NY-25",716,131,0.467,0.525
"NY-26",274,86,0.431,0.462
"OH-01",1077,283,0.256,0.169
"OH-02",7660,615,0.303,0.255
"OH-03",221,68,0.69,0.591
"OH-04",5366,461,0.387,0.317
"OH-05",4187,399,0.436,0.331
"OH-06",3979,414,0.459,0.291
"OH-07",1362,283,0.284,0.214
"OH-08",1683,327,0.28,0.198
"OH-09",3462,493,0.253,0.179
"OH-10",955,160,0.457,0.468
"OH-11",216,95,0.353,0.299
"OH-12",5142,466,0.416,0.298
"OH-13",601,156,0.368,0.31
"OH-14",2583,240,0.485,0.564
"OH-15",2717,452,0.325,0.167
"OK-01",1104,199,0.441,0.349
"OK-02",22415,1000,0.441,0.282
"OK-03",32901,1314,0.271,0.24
"OK-04",9892,688,0.453,0.262
"OK-05",3584,354,0.499,0.358
"OR-01",3429,343,0.477,0.366
"OR-02",72733,1429,0.472,0.448
"OR-03",1424,216,0.385,0.384
"OR-04",11739,759,0.32,0.256
"OR-05",5618,542,0.419,0.241
"OR-06",1902,239,0.487,0.418
"PA-01",717,145,0.41,0.428
"PA-02",67,42,0.33,0.483
"PA-03",55,42,0.393,0.388
"PA-04",733,215,0.276,0.198
"PA-05",240,98,0.41,0.314
"PA-06",935,186,0.45,0.339
"PA-07",1183,183,0.574,0.442
"PA-08",2837,343,0.469,0.303
"PA-09",6145,512,0.402,0.294
"PA-10",1293,230,0.479,0.307
"PA-11",1543,212,0.447,0.432
"PA-12",433,148,0.632,0.247
"PA-13",6396,444,0.569,0.407
"PA-14",4803,433,0.464,0.321
"PA-15",13065,612,0.569,0.439
"PA-16",3894,350,0.388,0.4
"PA-17",908,191,0.514,0.314
"RI-01",287,222,0.187,0.073
"RI-02",809,177,0.276,0.324
"SC-01",2952,557,0.252,0.12
"SC-02",3202,444,0.448,0.204
"SC-03",5847,423,0.504,0.41
"SC-04",1249,227,0.419,0.304
"SC-05",5253,489,0.331,0.276
"SC-06",7109,949,0.35,0.099
"SC-07",5506,444,0.363,0.351
"SD-01",76952,1284,0.494,0.587
"TN-01",4465,436,0.314,0.296
"TN-02",2684,421,0.403,0.19
"TN-03",3719,451,0.313,0.23
"TN-04",4236,426,0.437,0.294
"TN-05",6916,929,0.202,0.101
"TN-06",5740,503,0.296,0.285
"TN-07",2970,358,0.328,0.29
"TN-08",5038,502,0.345,0.251
"TN-09",6357,718,0.167,0.155
"TX-01",9647,651,0.411,0.286
"TX-02",509,181,0.417,0.195
"TX-03",3381,354,0.273,0.338
"TX-04",4691,661,0.222,0.135
"TX-05",3862,424,0.312,0.269
"TX-06",2498,314,0.437,0.318
"TX-07",125,114,0.182,0.122
"TX-08",1668,368,0.323,0.155
"TX-09",1574,234,0.449,0.362
"TX-10",8990,800,0.233,0.177
"TX-11",17999,1009,0.203,0.222
"TX-12",977,197,0.471,0.316
"TX-13",35249,1222,0.265,0.297
"TX-14",1755,492,0.133,0.091
"TX-15",9262,943,0.173,0.131
"TX-16",363,120,0.328,0.318
"TX-17",8260,614,0.446,0.275
"TX-18",239,117,0.265,0.217
"TX-19",30275,844,0.498,0.534
"TX-20",170,107,0.288,0.185
"TX-21",6200,490,0.444,0.325
"TX-22",2026,341,0.46,0.219
"TX-23",55542,1710,0.267,0.239
"TX-24",273,120,0.308,0.24
"TX-25",8988,625,0.441,0.289
"TX-26",2162,398,0.365,0.172
"TX-27",10392,1232,0.324,0.086
"TX-28",15690,808,0.387,0.302
"TX-29",217,102,0.497,0.263
"TX-30",345,107,0.326,0.382
"TX-31",5867,468,0.505,0.337
"TX-32",2268,352,0.164,0.23
"TX-33",202,137,0.271,0.135
"TX-34",4902,818,0.28,0.092
"TX-35",2877,318,0.476,0.357
"TX-36",5698,699,0.279,0.146
"TX-37",272,115,0.482,0.258
"TX-38",313,129,0.354,0.234
"UT-01",619,128,0.526,0.478
"UT-02",10258,536,0.457,0.449
"UT-03",51877,1302,0.448,0.384
"UT-04",22066,685,0.55,0.591
"VA-01",3231,666,0.418,0.092
"VA-02",2491,519,0.148,0.116
"VA-03",273,156,0.243,0.141
"VA-04",3497,366,0.533,0.329
"VA-05",9605,534,0.494,0.423
"VA-06",6301,591,0.231,0.226
"VA-07",2773,383,0.405,0.238
"VA-08",154,74,0.327,0.35
"VA-09",10159,777,0.208,0.211
"VA-10",1704,258,0.493,0.322
"VA-11",254,98,0.426,0.333
"VT-01",9595,543,0.365,0.409
"WA-01",348,148,0.242,0.198
"WA-02",4502,976,0.405,0.059
"WA-03",7434,543,0.462,0.317
"WA-04",18139,980,0.341,0.237
"WA-05",18930,688,0.465,0.502
"WA-06",7082,906,0.471,0.108
"WA-07",149,126,0.175,0.118
"WA-08",9968,642,0.542,0.304
"WA-09",201,92,0.357,0.3
"WA-10",744,218,0.326,0.196
"WI-01",1569,251,0.401,0.313
"WI-02",4360,355,0.575,0.434
"WI-03",11521,894,0.335,0.181
"WI-04",141,66,0.422,0.409
"WI-05",2215,254,0.598,0.433
"WI-06",5343,497,0.403,0.272
"WI-07",24003,1212,0.537,0.205
"WI-08",6840,707,0.423,0.172
"WV-01",14440,807,0.468,0.279
"WV-02",9771,937,0.269,0.14
"WY-01",97636,1260,0.616,0.773
